FromCustomerId;ToCustomerId;AffiliationStatus;MainAddressFlag;Position
001P4000004ahFzIAI;001P4000004YeB6IAK;ACT;false;
001P4000004ahFzIAI;001P4000004YWavIAG;INA;false;
001P4000004aWSQIA2;001P4000004YuBWIA0;ACT;true;
001P4000004agwJIAQ;001P4000004YFInIAO;ACT;true;
001P4000004agwJIAQ;001P4000004ZAtjIAG;ACT;false;
001P4000004ackLIAQ;001P4000004ZOdkIAG;ACT;true;
001P4000004aQQ6IAM;001P4000004YaE9IAK;ACT;true;
001P4000004aUXBIA2;001P4000004Yq7IIAS;ACT;true;
001P4000004acrKIAQ;001P4000004YXH4IAO;ACT;true;
001P4000004acrLIAQ;001P4000004YXH4IAO;ACT;true;
001P4000004af7kIAA;001P4000004ZMwyIAG;ACT;true;
001P4000004afHIIAY;001P4000004ZVmqIAG;ACT;true;
001P4000004afHKIAY;001P4000004ZVmqIAG;ACT;true;
001P4000004agDbIAI;001P4000004YSBTIA4;ACT;true;
001P4000004ajilIAA;001P4000004Yl1gIAC;ACT;true;
001P4000004ajkYIAQ;001P4000004Yb7nIAC;ACT;true;
001P4000004ajkZIAQ;001P4000004YlLqIAK;ACT;true;
001P4000004ajkaIAA;001P4000004Yl1gIAC;ACT;true;
001P4000004ajklIAA;001P4000004ZOdkIAG;ACT;true;
001P4000004afHlIAI;001P4000004Z5zjIAC;ACT;true;
001P4000004ajEZIAY;001P4000004YcJ3IAK;ACT;false;
001P4000004afNuIAI;001P4000004YlLqIAK;ACT;true;
001P4000004akeoIAA;001P4000004YdqEIAS;ACT;false;
001P4000004aeLRIAY;001P4000004YMxNIAW;ACT;true;
001P4000004akqHIAQ;001P4000004YnQoIAK;ACT;true;
001P4000004agOcIAI;001P4000004YSBTIA4;ACT;true;
001P4000004aWrOIAU;001P4000004YM10IAG;ACT;true;
001P4000004akesIAA;001P4000004YemHIAS;ACT;true;
001P4000004akevIAA;001P4000004YemHIAS;ACT;false;
001P4000004adw3IAA;001P4000004YPn1IAG;ACT;true;
001P4000004adw8IAA;001P4000004YQfQIAW;ACT;true;
001P4000004ahxAIAQ;001P4000004YlLqIAK;ACT;false;
001P4000004al5HIAQ;001P4000004ZW9PIAW;ACT;true;
001P4000004al5KIAQ;001P4000004YGq7IAG;ACT;false;
001P4000004aiH4IAI;001P4000004YZb0IAG;ACT;true;
001P4000004akweIAA;001P4000004YadUIAS;ACT;true;
001P4000004amIZIAY;001P4000004YRBvIAO;ACT;true;
001P4000004amIgIAI;001P4000004YYA3IAO;ACT;true;
